id,affiliate_link,created_at,image_url,price,product_description,product_description_thai,product_name,product_name_thai,updated_at,platform,category,subcategory,brand,store_link,highlighted,pre_list
5,https://s.shopee.co.th/50J3CM2uH4,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/kd939irjz2fvxidwwivsx/Yoyo-2-full-set-1.png?rlkey=662cgugn2kwwx4733n3p5futz&st=e99r8pzb&dl=0,18900,Compact foldable stroller with smooth suspension.,รถเข็นพับได้ กันสะเทือนดี,YOYO3,โยโย3,2025-02-24 8:25:18,Shopee,Travel,Stroller,BabyZen,,FALSE,Baby shower
6,https://www.lazada.co.th/products/exec-all-in-one-12-54-kg-2-isofix-true-tension-doors-nuna-i1421442153-s8015821696.html?trafficFrom=17449020_303586&laz_trackid=2:mm_313021167_255752547_2212552547:clkgg5or91iemh07c7ihtb&mkttid=clkgg5or91iemh07c7ihtb,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/wf3yw7qn3urj1opqntaa8/nuna.png?rlkey=j73svtzj8f4ysyyqbelf5bnpd&st=to3rcssu&dl=0,33600,"All-in-One car seat, fits infants to 12 yrs, belt/Isofix install.","คาร์ซีท all-in-one สำหรับเด็ก 0-12 ขวบ, เบลท์และ Isofix",Exec Car Seat,exec คาร์ซีท,2025-02-24 8:25:18,Lazada,Travel,Car seat,Nuna,,FALSE,Baby shower
7,https://www.central.co.th/th/graco-car-seat-4ever-deluxe-extend2fit-snuglog-midtown-cds12886951?tid=10232e2225e303317a26529b0e144d&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/jxq7zv5h6as05llxseavx/graco-delux-extended.png?rlkey=jqu0masoqbmvtktj3r2my0jd3&st=inn82o6z&dl=0,20395,"4-in-1 car seat with anti-rebound, adjustable modes, 10-year use.","คาร์ซีท 4-in-1 พร้อม Anti-Rebound, ปรับโหมดได้, ใช้งาน 10 ปี",4Ever Deluxe Car Seat,คาร์ซีท 4Ever Deluxe,2025-02-24 8:25:18,Central Group,Travel,Car seat,Graco,,FALSE,Baby shower
8,https://www.lazada.co.th/products/tutti-bambini-cozee-xl-new-born-set-3-bassinetbedside-cribcot-bed-i4132484920-s16203273140.html?trafficFrom=17449020_303586&laz_trackid=2:mm_313021167_255752547_2212552547:clkgisme01iemh6cu6jtb6&mkttid=clkgisme01iemh6cu6jtb6,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/t89ci7e739vvyfk3jkrz7/tutti-bambini-cozee-2.png?rlkey=nxma4mv18sybo4sy0jvkcetdu&st=hfbwngod&dl=0,24900,"3-in-1 adjustable baby bed set; bassinet, crib & cot convertible.","ที่นอนเด็ก 3-in-1 ปรับได้; เบสซิเนท, เตียงข้าง, เตียงเด็ก",Cozee XL,โคซี XL,2025-02-24 8:25:18,Lazada,Fourniture,Bed - Crib,Tutti Bambini,,FALSE,Baby shower
9,https://www.central.co.th/th/chicco-baby-cradle-next2me-forever-co-sleeping-ash-grey-cds11880592?tid=10214c6d2bf06188f12702845f2a81&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/hb3c0l5k8s2salno5v1yc/chicco-3-in-1-next-2-me.png?rlkey=sqdg7sfuelfrc0mvy2lmig1q5&st=0qug0rpf&dl=0,20997,3-in-1 baby bed convertible for infants to 4 yrs; safe & adjustable.,เตียงนอนเด็ก 3-in-1 ปรับเปลี่ยนได้ สำหรับทารกถึง 4 ขวบ,Next2me 3-in-1 Bed,เตียงนอน 3-in-1,2025-02-24 8:25:18,Central Group,Fourniture,Bed - Crib,Chicco,,FALSE,Baby shower
10,https://www.lazada.co.th/products/babybjorn-bouncer-bliss-lightweight-baby-swing-from-newborn-up-to-2-years-old-mesh-i217393991-s4523036560.html?trafficFrom=17449020_303586&laz_trackid=2:mm_313021167_255752547_2212552547:clkgl3uog1iemha39chgrj&mkttid=clkgl3uog1iemha39chgrj,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/d7m2bmsvf33gl389ky37d/baby-bjorn-bouncer-bliss.png?rlkey=4aftoygn1sfr9jukcvscr1e0r&st=vyxriec5&dl=0,12900,"Lightweight baby swing for newborn to 2 yrs, mesh design.","เปลโยกเบา สำหรับทารก 0-2 ขวบ, ดีไซน์เมช.",Bouncer Bliss,เบาน์เซอร์ บลิส,2025-02-24 8:25:18,Lazada,Fourniture,Bouncer,BabyBjörn,,FALSE,Baby shower
11,https://www.central.co.th/th/mamaspapasonline-playmat-welcome-to-the-world-under-the-sea-blue-cds13628567?tid=10207e550afd9e0d55859bd75ded60&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/yzz0cie7nxgvl5i72ox7r/mamas-papas-mat-1.png?rlkey=6lhmgl6055b8ubdzih9h15c7j&st=prrknw68&dl=0,5990,"Interactive toy for early development, boosts creativity & motor skills.",ของเล่นเสริมพัฒนาการเด็ก กระตุ้นความคิดสร้างสรรค์และทักษะการเคลื่อนไหว,Under the Sea,โลกใต้น้ำ,2025-02-24 8:25:18,Central Group,Fourniture,Mat - Play Mat,Mamas & Papas,,FALSE,Baby shower
12,https://www.central.co.th/th/mamaspapasonline-playmat-welcome-to-the-world-sit-play-bunny-interactive-seat-pink-blue-cds13769994?tid=10203fcdd9dd27ee64cf672731df2e&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/ezwalo7imyrnys18gudvg/mamas-papas-mat-2.png?rlkey=v2bs7iuy4kg2cx6rfw2qa9vu2&st=r6ptpjb3&dl=0,2290,Soft interactive baby cushion for sleep & play.,หมอนทารกนุ่ม ปลอดภัย สนับสนุนการนอนและเล่น.,Bunny Interactive Seat,ที่นั่ง Bunny,2025-02-24 8:25:18,Central Group,Fourniture,Mat - Play Mat,Mamas & Papas,,FALSE,Baby shower
13,https://www.lazada.co.th/products/philips-avent-9-2-i118403017-s20603158718.html?trafficFrom=17449020_21419788_303586&laz_trackid=2:mm_313021167_255752547_2212552547:clkgisme01iemhsokbm1d8&mkttid=clkgisme01iemhsokbm1d8,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/6e3dx0ffqbj6k4gevyfv7/philips-avent-1.png?rlkey=wcusybfki0tr5jqfyhm92k925&st=ktnyti7r&dl=0,660,"Philips Avent Natural Baby Bottles, 9oz, 2-pack.",ขวดนมเนเชอร์รัล 9 ออนซ์ 2 ชิ้น จาก Philips Avent.,Avent Bottles,ขวดนมเนเชอร์รัล,2025-02-24 8:25:18,Lazada,Meals,Baby bottle,Avent,,FALSE,Baby shower
14,https://www.central.co.th/th/philipsavent-natural-response-bottle-9-oz-2-pack-scy90302-cds99551872?tid=102929dcc2936bb499261f7fdbee42&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/hl49a1yhuilutpghvk20l/philips-avent-2.png?rlkey=rntf9yzwrvam2m6at1fvjru2r&st=vjtur6ir&dl=0,640,"Natural Response baby bottles, 9oz, 2-pack; silicone nipple reduces colic.",ขวดนมเนเชอร์รัล 9 ออนซ์ 2 ชิ้น พร้อมจุก ซิลิโคน ลดโคลิค.,Avent Natural Bottles,ขวดนมเนเชอร์รัล,2025-02-24 8:25:18,Central Group,Meals,Baby bottle,Philips,,FALSE,Baby shower
15,https://www.central.co.th/th/childhome-evolux-changing-table-natural-white-mkp1314507?tid=1026bb401215321223d594b92f1a79&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/8wazfbzcva24anf27j3hv/childhome-changing-table.png?rlkey=my5k7ibqnhmvlbpr5dx12d16y&st=tt5hzuyt&dl=0,13580,"A sleek and functional white changing table designed for hassle-free diaper changes, offering a spacious and organized area for baby care essentials.",โต๊ะเปลี่ยนผ้าอ้อมสีขาวที่มีดีไซน์เรียบง่ายและทันสมัย มอบพื้นที่กว้างขวางและการจัดเก็บที่เป็นระเบียบสำหรับอุปกรณ์ดูแลเด็ก,White Changing Table,โต๊ะเปลี่ยนผ้าอ้อม สีขาว,2025-02-24 8:25:18,Central Group,Fourniture,Changing table,Childhome,,FALSE,Baby shower
16,https://www.central.co.th/th/mamaspapasonline-mobile-musical-welcome-to-the-world-seedling-multi-color-cds13628482?tid=1020dd49260cb50309f87ec4e5e50f&utm_source=InvolveAsia+Technologies+Sdn+Bhd&utm_campaign=CDS+S2S&affiliate_id=1784&offer_id=255,2025-02-24 8:25:18,https://www.dropbox.com/scl/fi/ny3cipyxyt3g0p1rg1xiq/mamas-and-papas-welcome-to-the-world-seedling.png?rlkey=trpqgcs87p09z0nzcnt9kjp3j&st=klydbcts&dl=0,2690,Musical baby mobile promoting learning & development.,โมบายสำหรับทารก กระตุ้นพัฒนาการและการเรียนรู้,Seedling Mobile,โมบาย Seedling,2025-02-24 8:25:18,Central Group,Fourniture,Mobile,Mamas & Papas,,FALSE,Baby shower
